属性名称,缩写,全称,数据类型,描述,重置是否需要清除,id,类别,权限,处理方,备注,组件,父记录
mei_did,mei_did,mei did,int64,美的设备id,清除,181,配置类,读,网关,,美的组件,
mei_all_nodes_sync_state,mei_all_nodes_sync_state,mei all nodes sync state,int,网关同步时子设备同步状态,清除,182,配置类,"读, 写",网关,,美的组件,
plugins,plugins,plugins,jsonArray,网关三方插件信息,保留,183,配置类,"读, 写",网关,,网关,
height,height,height,int,高度,,185,应用类,"读, 写",设备,,可升降组件,
tra,tra,target rotary angle,int,目标旋转角度,,190,应用类,"读, 写",设备,,梦幻帘,
cra,cra,current rotary angle,int,当前旋转角度,,191,应用类,读,设备,,梦幻帘,
rrd,rrd,tilt reverse direction,int,角度是否反转,保留,192,配置类,"读, 写",设备,,梦幻帘,
rg,rg,tilt rotation gears,int,角度旋转力度,保留,193,配置类,"读, 写",设备,,梦幻帘,
mei_all_scenes_sync_state,mei_all_scenes_sync_state,mei all scenes sync state,int,美的情景同步状态,清除,194,配置类,"读, 写",网关,,美的组件,
3rdPartySyncBitmask,3rdPartySyncBitmask,third party sync bitmask,int,同步三方设定,保留,227,配置类,"读, 写",网关,,"基础组件,无线开关通道,开关,开关灯,亮度灯,色温灯,彩光灯,角度色温灯,接触式传感器,人在传感器,人感传感器,环境光传感器,窗帘,光照传感器2,空调,新风,地暖,情景按键,梦幻帘,旋钮开关,温控器组件,人体红外传感器,dali情景按键,dali人感传感器,dali光感传感器,dali旋钮开关组件,无色温彩光灯组件,亮度雷达传感器(可屏蔽区段),HVAC网关,组合旋钮组件",
rmt,rmt,remote management,string,遥控器信息,清除,231,配置类,读,设备,,遥控器管理组件,
weather_hidden,weather_hidden,weather hidden,bool,weather_hidden 在屏幕上隐藏天气信息；false：展示；true：隐藏,保留,232,配置类,"读, 写",设备,,跑道屏,
time_hidden,time_hidden,time hidden,bool,time_hidden 在屏幕上隐藏时间信息；false：展示；true：隐藏,保留,233,配置类,"读, 写",设备,,跑道屏,
temp_hidden,temp_hidden,temperature hidden,bool,"temperature_hidden，在屏幕上隐藏温度信息. false：展示, true：隐藏；",保留,234,配置类,"读, 写",设备,,跑道屏,
keys_visible,keys_visible,keys visible,int,按键是否显示,保留,235,配置类,"读, 写",设备,,跑道屏,
luminance,luminance,luminance,int,照度,,236,应用类,读,设备,未使用,"环境光传感器,光照传感器2,人体红外传感器,亮度雷达传感器(可屏蔽区段),dali光感传感器",
sonos_mgr,sonos_mgr,sonos manager,bool,sonos开启关闭命令,保留,237,配置类,"读, 写",网关,,网关,
